Turn,Speaker,Utterance
1,M:,(0)那我要說我為什麼我今天會穿這樣子
1,M:,..因為我[本來]
2,F:,[好啊]
3,M:,..我本來
3,M:,..我本來打算
3,M:,..ho我今天哪=
4,F:,..uh
5,M:,..我就是穿制服去上班
6,F:,..uh
7,M:,..然後我就是
7,M:,..因為我今天班
7,M:,..我今天班到兩點
7,M:,..我今天又是六點的班到兩點
8,F:,..uh
9,M:,..然後我不想要揹著大包小包的衣服
9,M:,..然後去
9,M:,..[然後去]公司換衣服
10,F:,[uh]
10,F:,...uh
11,M:,..所以我今天就先想說
11,M:,..想說我先直接穿制服[[上去]]
12,F:,[[你坐捷運就穿制服]]
13,M:,..沒有沒有
13,M:,..我今天坐
13,M:,..坐那個公司交通車呀
14,F:,..[喔喔喔喔喔]
15,M:,[公司交通車去上班]
15,M:,..然後我想說
15,M:,..我今天上到兩點我頂多加班到三點
16,F :,..m=
17,M:,..因為我現在是督導
17,M:,..所以我就是要看視
17,M:,..看視現場狀況
17,M:,..通常都會加一個小時
18,F:,..m=
19,M:,..結果今天做一個case 搞
19,M:,..導致我搞到四點才結束
20,F:,..從幾點開始做那件事
21,M:,...其實我開始做那件事的時候已經超過我下班時間了[兩點半]
22,F:,[no ] 你不應該接受那個case
23,M:,..沒有辦法[[你是督導啊]]
24,F:,[[@@=]]
25,M:,..你不能拒絕啊
26,F:,..所以四點才可以走喔
27,M:,...[四點才勉強做完]
28,F:,[四點
28,F:,...四點]
29,M:,..可是我們公司的交通車是四點十分
30,F:,..喔
31,M:,..然後我就是趕不上嘛
32,F:,..喔
33,M:,..然後我後來一怒之下我就坐客運[回台北了]
34,F:,[@@@=]
34,F:,...沒有塞車嗎
35,M:,..[[沒有什麼塞車]]
36,F:,[[才四點十分]]
37,M:,..可是
37,M:,..可是我到台北的[時候就已經]
38,F:,[五點]
39,M:,..就是我Line 妳們的時間啊
40,F:,..五點
41,M:,..五點[多]
42,F:,[半]
43,M:,..五點
44,F:,..然後你再回家喔
45,M:,..五點半
45,M:,..然後五點[四十到我就趕快]坐捷運回家
46,F:,[喔
46,F:,..XXXX]
47,M:,..然後再換衣服
48,F:,...那你穿那個捷運
48,F:,..坐
48,F:,..穿那個坐捷運有沒有很多人會瞄你
49,M:,..可是我不是穿完整的
49,M:,..我是[穿
49,M:,..我制服]只有穿褲子跟襯衫
50,F:,[你是穿外套]
51,M:,..然後我[[外面加一個外套]]
52,F:,[[襯衫是]]
52,F:,..喔
53,M:,..藍色那件
54,F:,...記得我有一次坐捷運就是看到有人穿整套
54,F:,..[就一開始]只有看到黑色的
55,M:,[是可以]
56,F:,..然後後來有發現
56,F:,..唔好藍喔
57,M:,..對
58,F:,..然後一直看他的制服
59,M:,..對啊
59,M:,..是可以穿整套啦
59,M:,...只是我
59,M:,..我比較不會穿整套欸
59,M:,..因為我[覺得]
60,F:,[為什麼]
60,F:,..他不會要求你們穿整套喔
61,M:,...其實基本上
61,M:,...我們公司沒有規定你不能穿著制服在外面走
62,F:,...喔
62,F:,..不能[規定
62,F:,..欸]
63,M:,[有些公司]規定你不能穿制服[[在外面走
63,M:,..像我記得我哥]]他們長榮就是
64,F:,[[喔喔 ]]
65,M:,..他們長榮就是
65,M:,..不准你穿制服在路上
66,F:,..是喔
67,M:,...就是你可能[下工]
68,F:,[一定要XX]
69,M:,..你可能就是
69,M:,..不准你穿
69,M:,..不准你穿制服在
69,M:,...比如說
69,M:,...去
69,M:,..跟朋友吃飯哪
69,M:,..[[搭大眾運輸工具]]啊什麼之類
70,F:,[[喔
70,F:,...]]大眾運輸也不行
71,M:,..[就不行]
72,F:,[那就是]一定要去換啊
73,M:,..嗯
74,F:,..怎麼跟女
74,F:,..女校高中生很[[像]]
75,M:,[[他們]]
75,M:,..所以
75,M:,..他們通常都是
75,M:,..比如說
75,M:,...他們住南崁那邊啊
75,M:,..像[我們同事也是]
76,F:,[mhm=]
77,M:,..住南崁的人可能就是他們會
78,F:,..住比較近
79,M:,..稍微就是
79,M:,...可能把外套脫掉
79,M:,..[或把外面]那件脫掉
80,F:,[嗯]
81,M:,..然後[[穿個外套蓋著]]就回家
82,F:,[[喔=]]
82,F:,...所以這樣是可以的
83,M:,..可是我們
83,M:,..可是我們公司不喜歡女生
