filename,TurnSeq,Speaker,Utterance
NCCU-TM016_Sunny.,1,M:,我
NCCU-TM016_Sunny.,1,M:,今天
NCCU-TM016_Sunny.,1,M:,有
NCCU-TM016_Sunny.,1,M:,跟
NCCU-TM016_Sunny.,1,M:,你
NCCU-TM016_Sunny.,1,M:,講
NCCU-TM016_Sunny.,1,M:,..
NCCU-TM016_Sunny.,1,M:,那
NCCU-TM016_Sunny.,1,M:,個
NCCU-TM016_Sunny.,1,M:,..
NCCU-TM016_Sunny.,1,M:,Jason
NCCU-TM016_Sunny.,1,M:,的
NCCU-TM016_Sunny.,1,M:,事
NCCU-TM016_Sunny.,1,M:,嗎
NCCU-TM016_Sunny.,1,M:,?
NCCU-TM016_Sunny.,2,F:,..
NCCU-TM016_Sunny.,2,F:,沒有
NCCU-TM016_Sunny.,2,F:,啊
NCCU-TM016_Sunny.,2,F:,.
NCCU-TM016_Sunny.,3,M:,..
NCCU-TM016_Sunny.,3,M:,就是
NCCU-TM016_Sunny.,3,M:,","
NCCU-TM016_Sunny.,4,F:,..
NCCU-TM016_Sunny.,4,F:,他
NCCU-TM016_Sunny.,4,F:,抱
NCCU-TM016_Sunny.,4,F:,你
NCCU-TM016_Sunny.,4,F:,.
NCCU-TM016_Sunny.,5,M:,..
NCCU-TM016_Sunny.,5,M:,對
NCCU-TM016_Sunny.,5,M:,.
NCCU-TM016_Sunny.,5,M:,..
NCCU-TM016_Sunny.,5,M:,他
NCCU-TM016_Sunny.,5,M:,..
NCCU-TM016_Sunny.,5,M:,他
NCCU-TM016_Sunny.,5,M:,因為
NCCU-TM016_Sunny.,5,M:,做錯
NCCU-TM016_Sunny.,5,M:,","
NCCU-TM016_Sunny.,5,M:,..
NCCU-TM016_Sunny.,5,M:,不
NCCU-TM016_Sunny.,5,M:,知道
NCCU-TM016_Sunny.,5,M:,做錯
NCCU-TM016_Sunny.,5,M:,甚麼
NCCU-TM016_Sunny.,5,M:,事情
NCCU-TM016_Sunny.,5,M:,","
NCCU-TM016_Sunny.,5,M:,..
NCCU-TM016_Sunny.,5,M:,然後
NCCU-TM016_Sunny.,5,M:,就
NCCU-TM016_Sunny.,5,M:,覺得
NCCU-TM016_Sunny.,5,M:,很
NCCU-TM016_Sunny.,5,M:,對不起
NCCU-TM016_Sunny.,5,M:,我
NCCU-TM016_Sunny.,5,M:,.
NCCU-TM016_Sunny.,6,F:,..
NCCU-TM016_Sunny.,6,F:,嗯
NCCU-TM016_Sunny.,7,M:,..
NCCU-TM016_Sunny.,7,M:,然後
NCCU-TM016_Sunny.,7,M:,他
NCCU-TM016_Sunny.,7,M:,就
NCCU-TM016_Sunny.,7,M:,說
NCCU-TM016_Sunny.,7,M:,","
NCCU-TM016_Sunny.,7,M:,..
NCCU-TM016_Sunny.,7,M:,eh
NCCU-TM016_Sunny.,7,M:,朱
NCCU-TM016_Sunny.,7,M:,怎樣
NCCU-TM016_Sunny.,7,M:,怎樣
NCCU-TM016_Sunny.,7,M:,","
NCCU-TM016_Sunny.,7,M:,..
NCCU-TM016_Sunny.,7,M:,然後
NCCU-TM016_Sunny.,7,M:,我
NCCU-TM016_Sunny.,7,M:,就
NCCU-TM016_Sunny.,7,M:,說
NCCU-TM016_Sunny.,7,M:,停止
NCCU-TM016_Sunny.,7,M:,放開
NCCU-TM016_Sunny.,7,M:,","
NCCU-TM016_Sunny.,7,M:,..
NCCU-TM016_Sunny.,7,M:,這個
NCCU-TM016_Sunny.,7,M:,不是
NCCU-TM016_Sunny.,7,M:,你
NCCU-TM016_Sunny.,7,M:,能
